
MA0754.1,CUX1,Homeo domain factors,HD-CUT
MA0754.2,CUX1,Homeo domain factors,HD-CUT
MA0754.3,CUX1,Homeo domain factors,HD-CUT
MA0755.1,CUX2,Homeo domain factors,HD-CUT
MA0755.2,CUX2,Homeo domain factors,HD-CUT
MA0102.1,Cebpa,Basic leucine zipper factors (bZIP),CEBP-related
MA0608.1,Creb3l2,Basic leucine zipper factors (bZIP),CREB-related factors
MA0840.1,Creb5,Basic leucine zipper factors (bZIP),CREB-related factors
MA0840.2,Creb5,Basic leucine zipper factors (bZIP),CREB-related factors
MA0609.1,Crem,Basic leucine zipper factors (bZIP),CREB-related factors
MA0467.1,Crx,Homeo domain factors,Paired-related HD factors
MA0467.2,Crx,Homeo domain factors,Paired-related HD factors
MA0467.3,Crx,Homeo domain factors,Paired-related HD factors
MA0639.1,DBP,Basic leucine zipper factors (bZIP),CEBP-related
MA0639.2,DBP,Basic leucine zipper factors (bZIP),CEBP-related
MA0879.2,DLX1,Homeo domain factors,NK
MA0879.3,DLX1,Homeo domain factors,NK
MA1476.1,DLX5,Homeo domain factors,NK
MA0882.1,DLX6,Homeo domain factors,NK
MA0882.2,DLX6,Homeo domain factors,NK
MA0610.1,DMRT3,DM-type intertwined zinc finger factors,DMRT factors
MA0610.2,DMRT3,DM-type intertwined zinc finger factors,DMRT factors
MA1707.1,DMRTA1,DM-type intertwined zinc finger factors,DMRT factors
MA1707.2,DMRTA1,DM-type intertwined zinc finger factors,DMRT factors
MA1478.1,DMRTA2,DM-type intertwined zinc finger factors,DMRT factors
MA1478.2,DMRTA2,DM-type intertwined zinc finger factors,DMRT factors
MA1479.1,DMRTC2,DM-type intertwined zinc finger factors,DMRT factors
MA1479.2,DMRTC2,DM-type intertwined zinc finger factors,DMRT factors
MA1480.1,DPRX,Homeo domain factors,Paired-related HD factors
MA1480.2,DPRX,Homeo domain factors,Paired-related HD factors
MA1481.1,DRGX,Homeo domain factors,Paired-related HD factors
MA1481.2,DRGX,Homeo domain factors,Paired-related HD factors
MA0468.1,DUX4,Homeo domain factors,Paired-related HD factors
MA0884.1,DUXA,Homeo domain factors,Paired-related HD factors
MA0884.2,DUXA,Homeo domain factors,Paired-related HD factors
MA0019.1,Ddit3::Cebpa,Basic leucine zipper factors (bZIP), Basic leucine zipper factors (bZIP),CEBP-related, CEBP-related
MA0019.2,Ddit3::Cebpa,Basic leucine zipper factors (bZIP), Basic leucine zipper factors (bZIP),CEBP-related, CEBP-related
MA0879.1,Dlx1,Homeo domain factors,NK
MA0885.1,Dlx2,Homeo domain factors,NK
MA0885.2,Dlx2,Homeo domain factors,NK
MA0885.3,Dlx2,Homeo domain factors,NK
MA0880.1,Dlx3,Homeo domain factors,NK
MA0880.2,Dlx3,Homeo domain factors,NK
MA0881.1,Dlx4,Homeo domain factors,NK
MA0881.2,Dlx4,Homeo domain factors,NK
MA1476.2,Dlx5,Homeo domain factors,NK
MA1476.3,Dlx5,Homeo domain factors,NK
MA0883.1,Dmbx1,Homeo domain factors,Paired-related HD factors
MA0883.2,Dmbx1,Homeo domain factors,Paired-related HD factors
MA1603.1,Dmrt1,DM-type intertwined zinc finger factors,DMRT factors
MA1603.2,Dmrt1,DM-type intertwined zinc finger factors,DMRT factors
MA0611.1,Dux,Homeo domain factors,Paired-related HD factors
MA0611.2,Dux,Homeo domain factors,Paired-related HD factors
MA0611.3,Dux,Homeo domain factors,Paired-related HD factors
MA0024.1,E2F1,Fork head/winged helix factors,E2F
MA0024.2,E2F1,Fork head/winged helix factors,E2F
MA0024.3,E2F1,Fork head/winged helix factors,E2F
MA0864.1,E2F2,Fork head/winged helix factors,E2F
MA0864.2,E2F2,Fork head/winged helix factors,E2F
MA0864.3,E2F2,Fork head/winged helix factors,E2F
MA0469.1,E2F3,Fork head/winged helix factors,E2F
MA0469.2,E2F3,Fork head/winged helix factors,E2F
MA0469.3,E2F3,Fork head/winged helix factors,E2F
MA0469.4,E2F3,Fork head/winged helix factors,E2F
MA0470.1,E2F4,Fork head/winged helix factors,E2F
MA0470.2,E2F4,Fork head/winged helix factors,E2F
MA0470.3,E2F4,Fork head/winged helix factors,E2F
MA0471.1,E2F6,Fork head/winged helix factors,E2F
MA0471.2,E2F6,Fork head/winged helix factors,E2F
MA0471.3,E2F6,Fork head/winged helix factors,E2F
MA0758.1,E2F7,Fork head/winged helix factors,E2F
MA0865.1,E2F8,Fork head/winged helix factors,E2F
MA0865.2,E2F8,Fork head/winged helix factors,E2F
MA0865.3,E2F8,Fork head/winged helix factors,E2F
MA0154.1,EBF1,Rel homology region (RHR) factors,Early B-Cell Factor-related factors
MA0154.2,EBF1,Rel homology region (RHR) factors,Early B-Cell Factor-related factors
