file, cpu, mem(GBs), io(GB), vmem(M), maxvmem(M), nproc, time(s), inputfilesize(B)
HEPG2_r5e8_s9_TOBIAS.qsub.sh.o830220, 33:50:24, 112035.44275, 2618.40048, 3.527M, 16.656G, 8, 17361, 54280907465
HEPG2_r1e6_s75_TOBIAS.qsub.sh.o830204, 17:43:51, 47768.72136, 619.39882, 13.082M, 14.664G, 8, 9253, 185702870
K562_r5e8_s63_TOBIAS.qsub.sh.o830237, 51:31:08, 190081.70688, 3089.73876, 14.000M, 21.726G, 8, 26579, 62682052252
K562_r5e8_s8_TOBIAS.qsub.sh.o830239, 47:11:52, 171720.46658, 3085.75962, 14.219M, 21.754G, 8, 24262, 62689418636
MCF7_r1e8_s97_TOBIAS.qsub.sh.o830248, 25:55:04, 75552.23559, 1128.23143, 5.660M, 13.188G, 8, 13595, 12486680306
MCF7_r5e6_s16_TOBIAS.qsub.sh.o830249, 16:33:59, 42346.42325, 628.95217, 3.562M, 13.207G, 8, 8753, 797845528
MCF7_r1e8_s17_TOBIAS.qsub.sh.o830246, 25:15:01, 71341.01307, 1119.16522, 5.719M, 13.268G, 8, 13316, 12488315808
MCF7_r1e7_s24_TOBIAS.qsub.sh.o830243, 15:02:42, 38350.00377, 687.65165, 3.586M, 13.189G, 8, 8002, 1505257071
MCF7_r1e8_s88_TOBIAS.qsub.sh.o830247, 20:12:26, 55544.11383, 1126.61810, 3.699M, 13.102G, 8, 10721, 12483084415
K562_r1e6_s63_TOBIAS.qsub.sh.o830222, 18:41:25, 54694.57146, 724.95426, 5.789M, 16.184G, 8, 9777, 204565237
MCF7_r5e8_s11_TOBIAS.qsub.sh.o830255, 39:56:46, 121336.86043, 2258.15815, 12.801M, 14.739G, 8, 20473, 53804053203
GM12878_r5e6_s30_TOBIAS.qsub.sh.o830194, 23:55:19, 71327.99189, 729.25673, 3.590M, 15.964G, 8, 12517, 765181437
SKNSH_r5e8_s14_TOBIAS.qsub.sh.o1003811, 30:20:34, 98237.60891, 2718.56758, 3.641M, 17.305G, 8, 15633, 55199465067
MCF7_r5e8_s38_TOBIAS.qsub.sh.o830256, 32:18:29, 96507.75186, 2260.28946, 12.996M, 14.532G, 8, 16597, 53804224115
MCF7_r1e6_s89_TOBIAS.qsub.sh.o830242, 12:42:01, 30605.64612, 627.43328, 5.977M, 13.192G, 8, 6686, 189597038
GM12878_r5e7_s20_TOBIAS.qsub.sh.o830197, 22:42:35, 73143.33139, 1145.21807, 5.809M, 15.964G, 8, 12014, 6372452554
SKNSH_r5e8_s32_TOBIAS.qsub.sh.o1003812, 44:32:20, 148865.40038, 2731.16277, 5.594M, 17.139G, 8, 23379, 55208236294
GM12878_r1e7_s65_TOBIAS.qsub.sh.o830190, 19:07:48, 58906.36272, 796.45464, 13.934M, 15.966G, 8, 10147, 1441674868
HEPG2_r1e7_s61_TOBIAS.qsub.sh.o830206, 20:38:12, 60168.95406, 803.58020, 5.863M, 14.602G, 8, 10833, 1467755811
HEPG2_r1e8_s92_TOBIAS.qsub.sh.o830211, 30:30:09, 93703.65705, 1254.60524, 5.738M, 14.762G, 8, 16062, 12516340420
GM12878_r5e6_s50_TOBIAS.qsub.sh.o830195, 17:41:09, 52892.11743, 776.55903, 5.750M, 16.022G, 8, 9336, 765638841
SKNSH_r1e6_s68_TOBIAS.qsub.sh.o830260, 14:32:41, 38331.67680, 666.45084, 3.664M, 14.481G, 8, 7670, 191903735
